"Sample","Total_Reads_total","Total_Reads_spiked","Percentage","Result"
"UHM1328.20668_S114",37052,34575,93.3148008204685,"failed"
"UHM1334.20513_S178",20287,792,3.90397791689259,"passed"
"UHM1338.20495_S152",17349,6988,40.2789786154822,"failed"
"UHM1341.20698_S189",53698,51544,95.9886774181534,"failed"
"UHM1356.20637_S122",40266,36158,89.7978443351711,"failed"
"UHM1380.20676_S115",16738,256,1.529453937149,"passed"
"UHM1383.20690_S188",19728,495,2.50912408759124,"passed"
"UHM1385.20659_S101",21972,15137,68.8922264700528,"failed"
"UHM1399.20852_S113",13536,3578,26.4332151300236,"passed"
"UHM1400.20853_S125",20301,8088,39.8404019506428,"failed"
"UHM1401.20854_S137",25719,8593,33.4110968544656,"passed"
"UHM1402.20855_S149",0,0,NA,NA
"UHM1403.20856_S161",19594,4762,24.3033581708686,"passed"
"UHM1405.20857_S173",19786,1215,6.14070554937835,"passed"
"UHM1406.20858_S185",31418,12159,38.7007447959768,"failed"
"UHM1414.20859_S102",20451,509,2.48887584959171,"passed"
"UHM1419.20860_S114",5955,2295,38.5390428211587,"failed"
"UHM1427.20485_S127",2373,1365,57.5221238938053,"failed"
"UHM1428.20486_S139",6884,33,0.479372457873329,"passed"
"UHM1429.20487_S151",532,53,9.96240601503759,"passed"
"UHM1430.20488_S163",13304,129,0.969633193024654,"passed"
"UHM1432.20489_S175",15372,162,1.05386416861827,"passed"
"UHM1435.20484_S115",1654,484,29.2623941958888,"passed"
"UHM162.20656_S160",17746,1525,8.59348585596754,"passed"
"UHM198.20681_S175",6728,1855,27.5713436385256,"passed"
"UHM200.20670_S138",6675,571,8.55430711610487,"passed"
"UHM203.20685_S128",8791,1206,13.7185758161756,"passed"
"UHM204.20505_S177",5982,2659,44.4500167168171,"failed"
"UHM206.20506_S189",23947,13696,57.1929678039003,"failed"
"UHM207.20689_S176",26009,811,3.11815140912761,"passed"
"UHM208.20507_S106",3891,883,22.6933950141352,"passed"
"UHM211.20502_S141",17323,11292,65.1850141430468,"failed"
"UHM215.20504_S165",9697,3355,34.5983293802207,"passed"
"UHM216.20525_S132",23655,16319,68.9875290636229,"failed"
"UHM219.20526_S144",49178,48760,99.1500264345846,"failed"
"UHM236.20527_S156",20580,20280,98.5422740524781,"failed"
"UHM238.20503_S153",8866,7100,80.0812091134672,"failed"
"UHM245.20634_S181",3969,1961,49.4079113126732,"failed"
"UHM252.20654_S136",6890,853,12.3802612481858,"passed"
"UHM267.20496_S164",25044,1531,6.11324069637438,"passed"
"UHM274.20677_S127",12791,1865,14.5805644593855,"passed"
"UHM276.20682_S187",9885,2550,25.7966616084977,"passed"
"UHM280.20497_S176",21358,4551,21.3081749227456,"passed"
"UHM286.20521_S179",2213,1144,51.6945323090827,"failed"
"UHM289.20522_S191",13228,2934,22.1802237677653,"passed"
"UHM294.20523_S108",4652,1794,38.5640584694755,"failed"
"UHM298.20696_S165",7113,146,2.05257978349501,"passed"
"UHM325.20644_S111",6325,602,9.51778656126482,"passed"
"UHM337.20508_S118",911,832,91.3282107574095,"failed"
"UHM354.20631_S145",51,31,60.7843137254902,"failed"
"UHM356.20511_S154",12978,3435,26.4678687008784,"passed"
"UHM369.20869_S127",0,0,NA,NA
"UHM370.20870_S139",16938,532,3.14086669028221,"passed"
"UHM372.20871_S151",17534,1203,6.86095585719174,"passed"
"UHM373.20872_S163",27188,558,2.05237604825658,"passed"
"UHM374.20873_S175",19177,102,0.531887156489545,"passed"
"UHM375.20874_S187",23521,1390,5.90961268653544,"passed"
"UHM377.20875_S104",13246,476,3.59353767174996,"passed"
"UHM382.20876_S116",13468,72,0.534600534600535,"passed"
"UHM386.20877_S128",26767,282,1.05353607053461,"passed"
"UHM387.20878_S140",18500,187,1.01081081081081,"passed"
"UHM414.20679_S151",15612,142,0.909556751217013,"passed"
"UHM418.20861_S126",7288,196,2.68935236004391,"passed"
"UHM422.20862_S138",26095,6716,25.7367311745545,"passed"
"UHM425.20863_S150",20207,630,3.11773147919038,"passed"
"UHM426.20630_S133",29644,22513,75.9445418971799,"failed"
"UHM428.20640_S158",7132,115,1.61245092540662,"passed"
"UHM429.20655_S148",28519,10661,37.3820961464287,"failed"
"UHM435.20643_S99",29010,3921,13.5160289555326,"passed"
"UHM437.20864_S162",9160,329,3.59170305676856,"passed"
"UHM439.20660_S113",24852,642,2.58329309512313,"passed"
"UHM443.20524_S120",7285,0,0,"failed"
"UHM445.20665_S173",13866,10,0.0721188518678783,"failed"
"UHM447.20879_S152",13607,49,0.360108767546116,"passed"
"UHM448.20865_S174",20234,2218,10.9617475536226,"passed"
"UHM452.20880_S164",6687,872,13.0402273067145,"passed"
"UHM454.20866_S186",8923,440,4.93107699204303,"passed"
"UHM455.20881_S176",10097,346,3.42676042388828,"passed"
"UHM458.20882_S188",8231,51,0.619608796015065,"passed"
"UHM459.20883_S105",11698,134,1.1454949564028,"passed"
"UHM461.20867_S103",28873,3904,13.5212828594188,"passed"
"UHM467.20868_S115",17979,313,1.7409199621781,"passed"
"UHM470.20629_S121",24778,1135,4.58067640648963,"passed"
"UHM476.20510_S142",8970,1321,14.726867335563,"passed"
"UHM478.20645_S123",15640,15515,99.2007672634271,"failed"
"UHM479.20647_S147",51440,48053,93.4156298600311,"failed"
"UHM481.20499_S105",16133,8615,53.3998636335462,"failed"
"UHM482.20686_S140",31520,25143,79.7684010152284,"failed"
"UHM483.20699_S106",51040,201,0.393808777429467,"passed"
"UHM519.20678_S139",19418,1563,8.04923267071789,"passed"
"UHM520.20669_S126",1492,44,2.94906166219839,"passed"
"UHM836.20481_S174",3932,1786,45.4221770091556,"failed"
"UHM837.20482_S186",5158,4997,96.8786351298953,"failed"
"UHM838.20483_S103",17913,60,0.334952269301625,"passed"
"UHM891.20480_S162",24748,95,0.383869403588169,"passed"
"UHM892.20628_S109",19078,270,1.41524268791278,"passed"
"UHM893.20691_S105",3996,26,0.650650650650651,"passed"
"UHM894.20636_S110",64,48,75,"failed"
"UHM895.20632_S157",16671,407,2.44136524503629,"passed"
"UHM896.20697_S177",23423,46,0.196388165478376,"passed"
"UHM897.20687_S152",25647,188,0.733029204195422,"passed"
"UHM898.20490_S187",8188,271,3.30972154372252,"passed"
"UHM899.20684_S116",360,0,0,"failed"
"UHM900.20491_S104",740,33,4.45945945945946,"passed"
"UHM901.20638_S134",5738,442,7.70303241547578,"passed"
"UHM902.20680_S163",27444,1973,7.18918524996356,"passed"
"UHM903.20683_S104",25157,2679,10.6491235043924,"passed"
"UHM904.20663_S149",11906,241,2.02418948429363,"passed"
"UHM905.20694_S141",19235,237,1.23212893163504,"passed"
"UHM906.20661_S125",2772,25,0.901875901875902,"passed"
"UHM907.20688_S164",13043,3030,23.2308517978993,"passed"
"UHM908.20492_S116",3197,1564,48.9208633093525,"failed"
"UHM909.20653_S124",38168,15279,40.0309159505345,"failed"
