"","Sample","Total_Reads"
"UHM1419.20860_S114","UHM1419.20860_S114",2295
"UHM1427.20485_S127","UHM1427.20485_S127",1365
"UHM1428.20486_S139","UHM1428.20486_S139",33
"UHM1429.20487_S151","UHM1429.20487_S151",53
"UHM1430.20488_S163","UHM1430.20488_S163",129
"UHM1432.20489_S175","UHM1432.20489_S175",162
"UHM1435.20484_S115","UHM1435.20484_S115",484
"UHM162.20656_S160","UHM162.20656_S160",1525
"UHM198.20681_S175","UHM198.20681_S175",1855
"UHM200.20670_S138","UHM200.20670_S138",571
"UHM203.20685_S128","UHM203.20685_S128",1206
"UHM204.20505_S177","UHM204.20505_S177",2659
"UHM206.20506_S189","UHM206.20506_S189",13696
"UHM207.20689_S176","UHM207.20689_S176",811
"UHM208.20507_S106","UHM208.20507_S106",883
"UHM211.20502_S141","UHM211.20502_S141",11292
"UHM215.20504_S165","UHM215.20504_S165",3355
"UHM216.20525_S132","UHM216.20525_S132",16319
"UHM219.20526_S144","UHM219.20526_S144",48760
"UHM236.20527_S156","UHM236.20527_S156",20280
"UHM238.20503_S153","UHM238.20503_S153",7100
"UHM245.20634_S181","UHM245.20634_S181",1961
"UHM252.20654_S136","UHM252.20654_S136",853
"UHM267.20496_S164","UHM267.20496_S164",1531
"UHM274.20677_S127","UHM274.20677_S127",1865
"UHM276.20682_S187","UHM276.20682_S187",2550
"UHM280.20497_S176","UHM280.20497_S176",4551
"UHM286.20521_S179","UHM286.20521_S179",1144
"UHM289.20522_S191","UHM289.20522_S191",2934
"UHM294.20523_S108","UHM294.20523_S108",1794
"UHM298.20696_S165","UHM298.20696_S165",146
"UHM325.20644_S111","UHM325.20644_S111",602
"UHM337.20508_S118","UHM337.20508_S118",832
"UHM354.20631_S145","UHM354.20631_S145",31
"UHM356.20511_S154","UHM356.20511_S154",3435
"UHM369.20869_S127","UHM369.20869_S127",0
"UHM370.20870_S139","UHM370.20870_S139",532
"UHM372.20871_S151","UHM372.20871_S151",1203
"UHM373.20872_S163","UHM373.20872_S163",558
"UHM374.20873_S175","UHM374.20873_S175",102
"UHM375.20874_S187","UHM375.20874_S187",1390
"UHM377.20875_S104","UHM377.20875_S104",476
"UHM382.20876_S116","UHM382.20876_S116",72
"UHM386.20877_S128","UHM386.20877_S128",282
"UHM387.20878_S140","UHM387.20878_S140",187
"UHM414.20679_S151","UHM414.20679_S151",142
"UHM418.20861_S126","UHM418.20861_S126",196
"UHM422.20862_S138","UHM422.20862_S138",6716
"UHM425.20863_S150","UHM425.20863_S150",630
"UHM426.20630_S133","UHM426.20630_S133",22513
