"","Sample","Total_Reads"
"UHM1406.20858_S185","UHM1406.20858_S185",31418
"UHM1414.20859_S102","UHM1414.20859_S102",20451
"UHM1419.20860_S114","UHM1419.20860_S114",5955
"UHM1427.20485_S127","UHM1427.20485_S127",2373
"UHM1428.20486_S139","UHM1428.20486_S139",6884
"UHM1429.20487_S151","UHM1429.20487_S151",532
"UHM1430.20488_S163","UHM1430.20488_S163",13304
"UHM1432.20489_S175","UHM1432.20489_S175",15372
"UHM1435.20484_S115","UHM1435.20484_S115",1654
"UHM162.20656_S160","UHM162.20656_S160",17746
"UHM198.20681_S175","UHM198.20681_S175",6728
"UHM200.20670_S138","UHM200.20670_S138",6675
"UHM203.20685_S128","UHM203.20685_S128",8791
"UHM204.20505_S177","UHM204.20505_S177",5982
"UHM206.20506_S189","UHM206.20506_S189",23947
"UHM207.20689_S176","UHM207.20689_S176",26009
"UHM208.20507_S106","UHM208.20507_S106",3891
"UHM211.20502_S141","UHM211.20502_S141",17323
"UHM215.20504_S165","UHM215.20504_S165",9697
"UHM216.20525_S132","UHM216.20525_S132",23655
"UHM219.20526_S144","UHM219.20526_S144",49178
"UHM236.20527_S156","UHM236.20527_S156",20580
"UHM238.20503_S153","UHM238.20503_S153",8866
"UHM245.20634_S181","UHM245.20634_S181",3969
"UHM252.20654_S136","UHM252.20654_S136",6890
"UHM267.20496_S164","UHM267.20496_S164",25044
"UHM274.20677_S127","UHM274.20677_S127",12791
"UHM276.20682_S187","UHM276.20682_S187",9885
"UHM280.20497_S176","UHM280.20497_S176",21358
"UHM286.20521_S179","UHM286.20521_S179",2213
"UHM289.20522_S191","UHM289.20522_S191",13228
"UHM294.20523_S108","UHM294.20523_S108",4652
"UHM298.20696_S165","UHM298.20696_S165",7113
"UHM325.20644_S111","UHM325.20644_S111",6325
"UHM337.20508_S118","UHM337.20508_S118",911
"UHM354.20631_S145","UHM354.20631_S145",51
"UHM356.20511_S154","UHM356.20511_S154",12978
"UHM369.20869_S127","UHM369.20869_S127",0
"UHM370.20870_S139","UHM370.20870_S139",16938
"UHM372.20871_S151","UHM372.20871_S151",17534
"UHM373.20872_S163","UHM373.20872_S163",27188
"UHM374.20873_S175","UHM374.20873_S175",19177
"UHM375.20874_S187","UHM375.20874_S187",23521
"UHM377.20875_S104","UHM377.20875_S104",13246
